"task_id","phase","value"
"s3r_0024__LA_D1_HC_Li_N500__r03__local_auto__screened","boundary_expansion_count",0
"s3r_0025__LA_D1_HC_Lc_N500__r01__auto__full","total.elapsed.sec",4.95100000000001
"s3r_0025__LA_D1_HC_Lc_N500__r01__auto__full","phase_frames_sec",0.274000000000001
"s3r_0025__LA_D1_HC_Lc_N500__r01__auto__full","phase_sync_rows_sec",0.177999999999997
"s3r_0025__LA_D1_HC_Lc_N500__r01__auto__full","phase_system_cache_sec",0.0420000000000016
"s3r_0025__LA_D1_HC_Lc_N500__r01__auto__full","phase_fold_component_cache_sec",0.878999999999991
"s3r_0025__LA_D1_HC_Lc_N500__r01__auto__full","phase_full_component_cache_sec",0.224000000000004
"s3r_0025__LA_D1_HC_Lc_N500__r01__auto__full","phase_lambda_search_sec",3.26900000000001
"s3r_0025__LA_D1_HC_Lc_N500__r01__auto__full","phase_final_solve_sec",0.0510000000000019
"s3r_0025__LA_D1_HC_Lc_N500__r01__auto__full","evaluated_lambda_count",6
"s3r_0025__LA_D1_HC_Lc_N500__r01__auto__full","unique_lambda_count",6
"s3r_0025__LA_D1_HC_Lc_N500__r01__auto__full","boundary_expansion_count",0
"s3r_0026__LA_D1_HC_Lc_N500__r01__auto__screened","total.elapsed.sec",4.95
"s3r_0026__LA_D1_HC_Lc_N500__r01__auto__screened","phase_frames_sec",0.210999999999999
"s3r_0026__LA_D1_HC_Lc_N500__r01__auto__screened","phase_sync_rows_sec",0.159000000000002
"s3r_0026__LA_D1_HC_Lc_N500__r01__auto__screened","phase_system_cache_sec",0.00900000000000034
"s3r_0026__LA_D1_HC_Lc_N500__r01__auto__screened","phase_fold_component_cache_sec",1.257
"s3r_0026__LA_D1_HC_Lc_N500__r01__auto__screened","phase_full_component_cache_sec",0.196000000000002
"s3r_0026__LA_D1_HC_Lc_N500__r01__auto__screened","phase_lambda_search_sec",2.973
"s3r_0026__LA_D1_HC_Lc_N500__r01__auto__screened","phase_final_solve_sec",0.0919999999999987
"s3r_0026__LA_D1_HC_Lc_N500__r01__auto__screened","evaluated_lambda_count",6
"s3r_0026__LA_D1_HC_Lc_N500__r01__auto__screened","unique_lambda_count",6
"s3r_0026__LA_D1_HC_Lc_N500__r01__auto__screened","boundary_expansion_count",0
"s3r_0027__LA_D1_HC_Lc_N500__r01__local_auto__full","total.elapsed.sec",6.84
"s3r_0027__LA_D1_HC_Lc_N500__r01__local_auto__full","phase_frames_sec",0.213000000000001
